difficulty,block_number,nonce,hash,attempts,mining_time
2,1,132,0017865db000827341dbb89bbcf5fed62ff486c42b00676640e03b5fc7043ef3,133,0.00010619999375194311
2,2,182,00ec1997a78208e49a51b9f288f04be80da6d23b831ade8f5317ae3f7f1a3d30,183,0.00012049998622387648
2,3,140,009cf1628ecf59a711bb7935a2dcff12056560932d7c5811bb7262f3d0a67070,141,9.61000332608819e-05
2,4,54,007c3ee4b4f3385bf5b77f2a26aab59c83424c131b176c3adc82470053904916,55,3.790005575865507e-05
2,5,56,0015f7a82a4fc04ffa645dcfff0ee77278d1be8ddaea43850dd734dc79638da9,57,3.830005880445242e-05
2,6,24,0034d818ca16373d82aca4cabe533082de56a8d3c89ead41e50d580ba4f29fc9,25,1.719989813864231e-05
2,7,263,001da9bdf2504495ba1359de27e2dc5e5f6baaceaa713375d74ce2c6dea98425,264,0.0001716000260785222
2,8,7,004293ed0d453bf7d49c6767342de4a03f247f7c5f8ee106a52869fb61d017f0,8,1.1299969628453255e-05
2,9,182,0017b4b1d93ab41475a10bdc8d4f0fb479833312be692a63185b1fb43ef11e36,183,0.00012780004180967808
2,10,383,00f6a24807776ecbc516ea4d3d2132b695f0aa062093e4e746a1832003e90415,384,0.0002664000494405627
2,11,96,0048f771e51c5860994e749b02a1acc84a7bd2b39e3c69c18f67560f97b25901,97,6.590003613382578e-05
2,12,175,00a00574d9265d1a6e3ca27067c943f63b7613efafb7f67e355534ffafe66ca2,176,0.00012600002810359
2,13,55,00710ad6a2f0f713f869aa87b221493ce8a2c4e1656536cea4e089c22b30aefc,56,4.160008393228054e-05
2,14,110,0011124c9cba6777630d727464e5d43d518baf494ef5ff8182e7d245464f1a77,111,7.639999967068434e-05
2,15,295,00159160a80e8a51cfe2bfa79b3ca792529fde11b5f6397070285f21540e33a3,296,0.00025969999842345715
2,16,350,009060e7c33ee1ae3d37b5cb6e6a6c0318a0b1841f8a6e50e576a9e04c2fbf87,351,0.00024610001128166914
2,17,452,0010d0e57eec27f1b4dafe48b069d26f1868d8daf4e1a223e9985b79d9b30cfe,453,0.0002960000419989228
2,18,8,0053fb0e82a14207a6692590c54340f3e09afd3d6892c90e6775135fd296cc82,9,6.6999346017837524e-06
2,19,307,00cbbae61fc7b196230bdf12b10cd9c489dc4844a30272b9bebcd16aca40ebd6,308,0.00020329991821199656
2,20,485,00afb0754a9e18445d2aa1692c360ac2518328a03f4a20902dd0fb4466a8d2ac,486,0.0003171000862494111
2,21,92,003a93dd7b96892ca02daa7be1707677f6b96275e374976e643efb00031a8a45,93,6.140000186860561e-05
2,22,155,00dc4c822d7f06f5da8b81c2302a2613b6efa1be35f0f1d3adae4d7aff1facb9,156,0.00010199996177107096
2,23,131,00a6a734572b32fa726ee6285468a31802935ac6e7dc18b54b0bbaa7c42e752b,132,8.979998528957367e-05
2,24,138,009a596ff998901702645f231b418194b127344f9f9a399dcead18c75476da77,139,9.339989628642797e-05
2,25,258,0002d1d669a2b9411969da99f127f726e4e8663018c2decd6cf4c6550b254ee9,259,0.00016679998952895403
2,26,382,00feab1b567b9ac2778d16965b4706fafffa250e4698a88854e71eab22a3fa02,383,0.00024830002803355455
2,27,83,002184555f865104d9923a9a1a82cd479e2303c45a776a1ef444baca7179c2ae,84,5.9699988923966885e-05
2,28,345,00e94eb77f9b1405cffc6c25bd0aee78a0bdd91b0a5b7b074cffcf755ebad2f1,346,0.00022460008040070534
2,29,43,009e1666d00c853c489c73ddd7ca71ae28bc8c1438f2fa03aacb305471a69d8a,44,2.8999987989664078e-05
2,30,114,00389d561cacf20452a1071ca2f1ad3145266e2e4ec6a5e25bb6cd1c57536bcf,115,7.449998520314693e-05
3,1,4563,00018a9a2c82b3c8e51f7bfc4ae81b633d2381540a756b0224412034986fc3a1,4564,0.0030617000302299857
3,2,4624,000b86c2083a3062f4b1427a843172eae365d06678da59ed45ffd5f4be5d7adc,4625,0.003057299996726215
3,3,2380,000fc669f74ac7fcdb6126c96bea221d638c837e5ae06018109f14d0c670ae46,2381,0.0015934000257402658
3,4,5443,000a88ebe4f17ef24d7cae954090dc233ea9e15eee3b9478951bb8dd8dfe79e2,5444,0.0036491999635472894
3,5,12082,000635c2446cb84147d6eb25141311a351e34b1149277c68ef3b065e22a1b32e,12083,0.0077327999752014875
3,6,1075,0008ee914b51113c64dbd9d284263a16660e64c4eada90dcb73d07ba6ea58bf5,1076,0.0006777000380679965
3,7,2671,000f3222acfa07d555bec7a6747f68c9457b58c9d07469034165317fae4a7104,2672,0.00168009998742491
3,8,6228,0009fe978757db84bd2c3cbf816e0ef0473fd302cc35c387866f21f4c9ddec29,6229,0.003886000020429492
